particles,area,area_convex,axis_major_length,axis_minor_length,bbox-0,bbox-1,bbox-2,bbox-3,centroid-0,centroid-1,ECD,orientation,perimeter,largest_dimension,smallest_dim_area,Aspect Ratio,area_ratio,intermetallic,orientation_deg
49,0.026859504132231406,0.03512396694214876,0.35434787054558226,0.10286478183921148,1466.0,1788.0,1469.0,1796.0,1466.7692307692307,1791.4615384615386,0.18492858841491905,-1.351146676070191,0.42791879828968615,0.32141217326661253,0.08356716504931926,3.444792903945156,0.7647058823529411,2.0,12.584997958048277
50,0.18181818181818182,0.21694214876033058,0.9261382050149536,0.27581784517795876,1467.0,10718.0,1481.0,10733.0,1473.965909090909,10723.96590909091,0.4811424934910207,0.8412629263863867,2.1837104800155736,0.8381404052084442,0.2169304578186562,3.3577892845091495,0.8380952380952381,2.0,41.79918485723518
51,0.49793388429752067,0.6136363636363636,1.16562930031822,0.6535693291233629,1469.0,10921.0,1495.0,10938.0,1480.0414937759335,10930.290456431536,0.7962343324368689,0.3047989636488273,3.785925813721444,1.1588680712710875,0.4296726233482032,1.7834822541040702,0.8114478114478114,2.0,72.5363057829608
52,0.030991735537190084,0.0371900826446281,0.2555763517125565,0.16944600836032755,1474.0,10899.0,1479.0,10904.0,1476.1333333333334,10901.066666666668,0.19864516919855985,-1.155385605385384,0.5298570113405627,0.22727272727272727,0.13636363636363638,1.5083055315712863,0.8333333333333334,2.0,23.8012811012499
53,0.08884297520661157,0.12396694214876033,0.9144969894836003,0.14693637700941925,1475.0,1759.0,1484.0,1776.0,1479.0,1766.046511627907,0.33633077365145087,-1.1239133227232838,1.5425013110247454,0.7938295089351354,0.11191694716134698,6.223761658591712,0.7166666666666666,2.0,25.604510069431
54,3.62396694214876,5.919421487603306,3.450793947489826,2.002775970694687,1477.0,10868.0,1566.0,10923.0,1509.1510832383124,10889.111744583808,2.1480637838660113,-0.024357392515844446,15.825244316048964,4.0064514089855106,0.9045328576857492,1.7230054674027653,0.6122164048865619,2.0,88.60442420889858
55,0.02066115702479339,0.028925619834710745,0.23734514903677048,0.15384173760300948,1477.0,10906.0,1481.0,10910.0,1478.7,10907.3,0.16219310146843374,0.3136540961378813,0.4012921420339177,0.1928473039599675,0.10713739108887085,1.5427877553570188,0.7142857142857143,2.0,72.02894406430883
56,0.0371900826446281,0.049586776859504134,0.33428978392591685,0.16620431304779992,1485.0,1749.0,1490.0,1756.0,1486.2777777777778,1751.611111111111,0.21760488021896326,-1.1823853046299362,0.6113521576502651,0.30491836056815314,0.12196734422726126,2.0113183454497716,0.75,2.0,22.254312286414503
57,0.02066115702479339,0.028925619834710745,0.273576732484154,0.13798575638070323,1485.0,10909.0,1488.0,10914.0,1486.0,10911.4,0.16219310146843374,-1.4511805268130662,0.43733274288907464,0.20327890704543544,0.10163945352271771,1.982644728412074,0.7142857142857143,2.0,6.853480502039915
58,0.04132231404958678,0.045454545454545456,0.37081653925963143,0.15189998883543226,1490.0,1735.0,1495.0,1743.0,1492.45,1738.7,0.22937568382001458,-1.1609858906516517,0.7869867499538526,0.3309140858763872,0.12487323995335366,2.441188719647454,0.9090909090909091,2.0,23.480408391423467
59,0.0743801652892562,0.09917355371900827,0.6499493849781427,0.17450861706446508,1501.0,1694.0,1507.0,1707.0,1503.1944444444443,1699.111111111111,0.3077397728442307,-1.2498722071706674,1.2509461490986957,0.574959574576069,0.1293659042796155,3.7244543903413403,0.75,2.0,18.387597598419887
60,1.3698347107438016,1.921487603305785,3.3432113864158755,0.6803248638858332,1505.0,1627.0,1544.0,1692.0,1520.4947209653092,1654.3242835595777,1.320654278556603,-1.1549930932660437,8.515367959846557,3.2941219876351706,0.4158421321024596,4.914139646933302,0.7129032258064516,2.0,23.823770389095827
61,0.08677685950413223,0.10950413223140495,0.502289207080066,0.2560091316355862,1507.0,10928.0,1519.0,10935.0,1511.3809523809523,10930.619047619048,0.332396945065066,0.2133303562036671,1.2791879828968613,0.5182615568632445,0.16743834914043287,1.961997229829461,0.7924528301886793,2.0,77.77707094750738
62,0.030991735537190084,0.03512396694214876,0.35197117042763276,0.11551237500048307,1508.0,1872.0,1511.0,1880.0,1509.0666666666666,1875.6666666666667,0.19864516919855985,-1.3288668830985537,0.5470697229969427,0.32141217326661253,0.09642365197998375,3.047042972029281,0.8823529411764706,2.0,13.861536063748318
63,0.08884297520661157,0.10743801652892562,0.6059245059243549,0.1988116277260806,1522.0,10919.0,1536.0,10924.0,1529.046511627907,10920.697674418605,0.33633077365145087,0.13444225185142347,1.1866637144453733,0.597861201725723,0.14860133915726062,3.047731729047497,0.8269230769230769,2.0,82.29702638067856
64,0.010330578512396695,0.014462809917355372,0.20915586650631954,0.10858643372279651,1526.0,11003.0,1529.0,11007.0,1527.4,11004.6,0.11468784191000729,-0.9987119099608864,0.16460547016180194,0.14373989364401726,0.07186994682200862,1.9261694056576204,0.7142857142857143,2.0,32.778022609791726
65,0.10330578512396695,0.12396694214876033,0.6023811569338781,0.2374375943116217,1536.0,10742.0,1549.0,10748.0,1542.98,10744.24,0.3626748003649388,0.1859829038847543,1.3136134062096212,0.574959574576069,0.17967486705502153,2.537008339729433,0.8333333333333334,2.0,79.34396454581633
